name,model_type,metric_type,metric_value,train_time
1_DecisionTree,Decision Tree,rmse,0.14464583828766822,0.51
2_DecisionTree,Decision Tree,rmse,0.14092613434197465,0.45
3_DecisionTree,Decision Tree,rmse,0.1409261343419746,0.44
4_Linear,Linear,rmse,0.13314759206910073,0.48
5_Default_LightGBM,LightGBM,rmse,0.10057417714884283,0.67
15_LightGBM,LightGBM,rmse,0.07714424028995513,0.69
6_Xgboost,Xgboost,rmse,0.09346449813644324,0.71
24_CatBoost,CatBoost,rmse,0.09601156627310399,1.08
15_LightGBM_KMeansFeatures,LightGBM,rmse,0.09844394245251584,0.93
25_LightGBM,LightGBM,rmse,0.07714424028995513,0.71
26_Xgboost,Xgboost,rmse,0.09328672270515138,0.68
27_LightGBM,LightGBM,rmse,0.07759130630109103,0.66
Ensemble,Ensemble,rmse,0.07664774695809866,0.32
